Wall time,Step,Value
1736740683.1639743,14810061,-0.8662105798721313
1736740867.3891747,14837176,1.489884376525879
1736740913.069875,14843944,2.673844575881958
1736740960.3247893,14850877,0.7636240720748901
1736741355.670638,14908920,-0.5685440301895142
1736741466.763353,14925038,0.4291485548019409
1736741571.0217109,14940048,-0.40668535232543945
1736741605.1007886,14945115,1.4172499179840088
1736741781.5525289,14971309,-0.022435519844293594
1736741920.5697467,14991811,1.2749402523040771
1736742470.4628365,15072758,1.0845915079116821
1736742526.980333,15081192,1.1719306707382202
1736742821.4540753,15124394,0.24336719512939453
1736743022.9266145,15153581,0.7666497230529785
1736743225.9292781,15183050,2.0998010635375977
1736743349.2424371,15201119,0.8353018164634705
1736743434.750886,15213620,0.32205042243003845
1736743507.1926816,15224439,1.3860195875167847
1736743774.580985,15263665,1.3877723217010498
1736743901.112964,15281992,1.2438620328903198
1736743997.9332082,15296306,0.9784984588623047
1736744331.3143127,15345542,-0.03827587887644768
1736744392.4998093,15354331,1.3679677248001099
1736744820.6470003,15416650,0.932306170463562
1736745148.4313805,15464598,0.46263015270233154
1736745615.6601837,15534462,0.3035683035850525
1736745628.250401,15536256,1.260291576385498
1736746252.1490285,15627607,0.5732772350311279
1736746383.3990612,15646547,1.2876325845718384
1736746728.4412968,15697287,1.2839823961257935
1736746863.0014834,15716874,1.252869963645935
1736747487.1167095,15808111,0.7239601016044617
1736747579.2207286,15821689,-0.7069849967956543
1736747819.781259,15856689,1.2629131078720093
1736747936.5821943,15873749,0.777373194694519
1736748125.9089177,15900976,0.8987816572189331
1736748243.3457575,15917890,0.2592809200286865
1736748444.1119275,15947104,1.4763939380645752
1736748498.5194874,15955041,1.232174038887024
1736748753.2169616,15991717,1.2128560543060303
1736748802.3249762,15998984,2.238987922668457
1736748873.4850056,16009392,-0.06109342351555824
1736749152.5531945,16049830,0.21070608496665955
1736749505.2419314,16101210,0.7198725938796997
1736749749.9030933,16136683,1.364157795906067
1736749774.622354,16140158,1.5220426321029663
1736750697.9628932,16273900,2.057424306869507
1736750747.9045324,16280979,1.3466547727584839
